State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Alabama,"$7,687","$7,884","$7,836","$8,144","$8,925","$9,736","$10,887","$11,453","$12,249","$12,662","$12,894","$13,240","$13,527","$13,990","$13,819","$13,756","$13,680","$13,472","$12,854","$12,563","$12,518","$12,537"
Alaska,"$5,855","$6,253","$6,698","$6,872","$6,996","$7,387","$7,769","$7,809","$8,113","$8,134","$8,349","$9,107","$9,562","$9,773","$10,028","$10,369","$10,712","$10,475","$9,928","$9,596","$9,672","$9,682"
Arizona,"$6,951","$7,310","$7,465","$7,701","$8,351","$9,837","$11,924","$13,506","$13,643","$13,930","$14,140","$14,446","$14,664","$14,725","$14,804","$14,961","$14,694","$14,046","$13,405","$13,299","$13,205","$13,153"
Arkansas,"$7,808","$8,210","$8,487","$8,695","$8,844","$8,975","$9,309","$9,525","$9,810","$10,023","$10,328","$10,708","$11,073","$11,231","$11,157","$11,380","$11,294","$10,992","$10,428","$10,292","$10,372","$10,505"
California,"$7,151","$7,462","$7,265","$7,689","$8,130","$9,831","$11,053","$12,787","$12,602","$12,547","$12,474","$12,590","$12,480","$12,873","$12,662","$12,411","$12,346","$11,815","$11,390","$11,346","$11,637","$11,949"
Colorado,"$6,363","$7,299","$7,622","$8,440","$8,662","$9,410","$10,452","$11,268","$11,838","$12,572","$12,626","$13,243","$13,800","$14,200","$14,307","$14,368","$14,286","$13,985","$13,406","$13,491","$13,551","$13,711"
Connecticut,"$10,800","$11,135","$11,396","$11,762","$12,021","$12,691","$13,256","$13,194","$13,512","$14,142","$14,480","$15,180","$15,804","$16,000","$16,341","$17,184","$17,693","$17,721","$17,362","$17,460","$17,650","$17,355"
Delaware,"$11,299","$11,623","$11,824","$12,125","$12,399","$13,526","$14,210","$14,941","$15,298","$15,562","$15,635","$15,861","$16,004","$16,000","$16,319","$16,719","$16,911","$16,518","$15,612","$15,877","$16,091","$16,469"
District of Columbia,"$4,295","$4,155","$5,127","$5,855","$5,638","$8,060","$10,336","$10,020","$10,159","$10,028","$9,981","$10,081","$10,523","$10,588","$10,581","$10,635","$10,744","$10,262","$9,502","$9,126","$8,864","$8,636"
Florida,"$5,206","$5,297","$5,295","$5,258","$5,720","$6,478","$7,433","$8,050","$8,744","$8,728","$8,615","$8,640","$8,525","$8,354","$8,147","$8,016","$7,919","$7,564","$7,002","$6,723","$6,527","$6,359"
