,restaurant,item,calories,item_lower,category
1,Mcdonalds,Artisan Grilled Chicken Sandwich,380,artisan grilled chicken sandwich,Sandwich
2,Mcdonalds,Single Bacon Smokehouse Burger,840,single bacon smokehouse burger,Burger
3,Mcdonalds,Double Bacon Smokehouse Burger,1130,double bacon smokehouse burger,Burger
4,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,grilled bacon smokehouse chicken sandwich,Sandwich
5,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,crispy bacon smokehouse chicken sandwich,Sandwich
6,Mcdonalds,Big Mac,540,big mac,Burger
7,Mcdonalds,Cheeseburger,300,cheeseburger,Burger
8,Mcdonalds,Classic Chicken Sandwich,510,classic chicken sandwich,Sandwich
9,Mcdonalds,Double Cheeseburger,430,double cheeseburger,Burger
10,Mcdonalds,Double Quarter Pounder® with Cheese,770,double quarter pounder® with cheese,Burger
11,Mcdonalds,Filet-O-Fish®,380,filet-o-fish®,Sandwich
12,Mcdonalds,Garlic White Cheddar Burger,620,garlic white cheddar burger,Burger
13,Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,grilled garlic white cheddar chicken sandwich,Sandwich
14,Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,crispy garlic white cheddar chicken sandwich,Sandwich
15,Mcdonalds,Hamburger,250,hamburger,Burger
16,Mcdonalds,Lobster Roll,290,lobster roll,Sandwich
17,Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,maple bacon dijon 1/4 lb burger,Burger
18,Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,grilled maple bacon dijon chicken sandwich,Sandwich
19,Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,crispy maple bacon dijon chicken sandwich,Sandwich
20,Mcdonalds,McChicken,350,mcchicken,Sandwich
21,Mcdonalds,McDouble,380,mcdouble,Burger
22,Mcdonalds,McRib,480,mcrib,Sandwich
23,Mcdonalds,Pico Guacamole 1/4 lb Burger,580,pico guacamole 1/4 lb burger,Burger
24,Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,grilled pico guacamole chicken sandwich,Sandwich
25,Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,crispy pico guacamole chicken sandwich,Sandwich
26,Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,premium buttermilk crispy chicken deluxe sandwich,Sandwich
27,Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,premium crispy chicken deluxe sandwich,Sandwich
28,Mcdonalds,Quarter Pounder® with Cheese,530,quarter pounder® with cheese,Burger
29,Mcdonalds,Signature Sriracha Burger,670,signature sriracha burger,Burger
30,Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,grilled signature sriracha chicken sandwich,Sandwich
31,Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,crispy signature sriracha chicken sandwich,Sandwich
32,Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,sweet bbq bacon 1/4 lb burger,Burger
